Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Employee/Employee_Role_And_Task/Task Group/Edit/Edit_ShouldSucceed,Chrome 77.0.3865.90,Should Update succesfully,,2019-10-11 16:15:44,2019-10-11 16:15:56,12.011s,FAILED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:15:44,2019-10-11 16:15:52,7.977s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/div_more_vert_hamburgerWrapper""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:52,2019-10-11 16:15:52,0.078s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/a_account_circleEmployee""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:52,2019-10-11 16:15:52,0.075s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:52,2019-10-11 16:15:52,0.062s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/div_Task Group""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:52,2019-10-11 16:15:53,0.620s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/mat-cell_TVINC""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:53,2019-10-11 16:15:53,0.138s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:53,2019-10-11 16:15:54,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/i_edit""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:54,2019-10-11 16:15:54,0.187s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/mat-step-header_2Create Role""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:54,2019-10-11 16:15:55,0.204s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:55,2019-10-11 16:15:56,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Edit_OR/Edit_should_succeed/div_Search_mat-checkbox-inner-container""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:56,2019-10-11 16:15:56,0.506s,FAILED
,,,,,,,
Test Cases/Employee/Employee_Role_And_Task/Roles/Add/Add_Role_new_ShoudlSucceed,Chrome 77.0.3865.90,Add a role should give Created Role message,,2019-10-11 16:15:56,2019-10-11 16:16:11,15.287s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:15:56,2019-10-11 16:16:05,8.216s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_new_Shouldsucceed/Add_new_role/div_more_vert_hamburgerWrapper""), OPTIONAL)",Chrome 77.0.3865.90,,,2019-10-11 16:16:05,2019-10-11 16:16:05,0.072s,PASSED
